dispatcher,rider_1,rider_2,rider_3,points,,,,,,,,,,,,,
 Verena 3920, Phippu, Nik, Tom,61,,,,,,,,,,,,,
Max 777, Ruben, Suzanne,  Iris,60,,,,,,,,,,,,,
 Noam 808, Timo 222, Niggi 835, Stalder 555,58,,,,,,,,,,,,,
 6482 Cio, Henna,Marci, Julian,55,,,,,,,,,,,,,
 66 Lino, sophie 49, Luna 7353, Armand 2,55,,,,,,,,,,,,,
167 ' Matteo, Sguatti,Traulo , Emma,51,,,,,,,,,,,,,
 995 Mo,Mo, mo, Maurice,49,,,,,,,,,,,,,
 3333 Robin, Clelia, Kiana,171,47,,,,,,,,,,,,,
 1133 ALu, Anouk/Matz,Yannick, Deborah,47,,,,,,,,,,,,,
 2038 Fabu, Mammut 6, Matti 404,Sven 4057,46,,,,,,,,,,,,,
 365 Niggi,Leon 90, remi 947, Reto ,45,,,,,,,,,,,,,
 Busi 234, Noe 2222, Flo, Felix 743,42,,,,,,,,,,,,,
705, Leiotu, MAx 96,Riccardo 3112,41,,,,,,,,,,,,,
5846,6065,4371,6340,40,,,,,,,,,,,,,
1312 Luca,713, Simon,Giani,39,,,,,,,,,,,,,
 306 Andi, 850 loris, Iwa 9326, Anton 0,39,,,,,,,,,,,,,
 4127 Yuri,lus, Valerie, Seraphin ,38,,,,,,,,,,,,,
420, David, Ivan, Thomas ,37,,,,,,,,,,,,,
 87 Zita, Juan 1234, Sisqo 8420, Nora,33,,,,,,,,,,,,,
 AnnaLuna 8002,Flo, Phillipe, Tyril ,29,,,,,,,,,,,,,
 150 Michi,Mark, Anastasia, Martin,29,,,,,,,,,,,,,
439, Moan,Andrin, Dennis,28,,,,,,,,,,,,,
 Sabine 151, Reini, Chis 213, Rafi,26,,,,,,,,,,,,,
 23 Gugu, Albus , Theo 309, David 21,25,,,,,,,,,,,,,
2210 Pirmi, Iata 032,Reni 2121, Rapha 1114,25,,,,,,,,,,,,,
 999 Hajime, Arturo 1414, guigui 1185, Olaf 024,18,,,,,,,,,,,,,
 241 Martin, yuri, Emil,Simon,0,,,,,,,,,,,,,
 1616 Flo, Madine, Janina, Raffi,0,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,0
,,,,,,,,,,,,,,,,,0
