race_number, time
0,01:14
1,01:01
2,00:37
3,00:51
5,00:50
7,00:50
9,00:57
13,00:46
14,00:54
19,00:50
24,00:48
27,01:06
30,01:03
44,01:00
44,01:16
66,00:52
71,01:05
84,01:23
91,00:58
96,00:47
108,01:05
111,01:02
130,01:42
144,00:58
148,00:53
150,00:49
153,01:00
163,01:21
169,00:45
171,00:51
176,01:06
222,00:44
259,01:06
262,00:45
333,01:14
365,01:01
374,00:44
404,00:54
413,01:01
422,00:56
552,01:14
555,00:57
667,00:50
705,00:58
777,01:27
808,00:44
815,00:45
835,01:02
850,01:28
858,01:23
947,00:42
999,00:42
1114,01:26
1133,01:21
1234,00:53
1312,01:04
1313,00:54
1414,00:47
1515,01:01
1667,01:00
1893,00:56
1993,00:52
2121,01:16
2202,00:59
2210,00:55
2222,00:53
2503,00:57
3112,01:30
3333,01:10
4321,01:25
4338,01:27
4444,00:46
4645,01:02
4812,01:24
4973,01:11
5637,01:02
6482,00:48
7353,00:50
8005,01:08
8127,00:55
8400,01:17
1212,00:51
